DATEHOUR,LOAD,LOCATION
2016-01-02 12:00,1376.457111,East (Tyler)
2016-01-02 12:00,2181.611328,Far West (Midland)
2016-01-02 12:00,869.3162311,North (Wichita Falls)
2016-01-02 12:00,13135.90536,North Central (DFW)
2016-01-02 12:00,4071.913336,South (Corpus Christi)
2016-01-02 12:00,7044.634992,South Central (Austin)
2016-01-02 12:00,1312.023982,West (Abilene)
2016-01-02 13:00,10564.2971,Coast (Houston)
2016-01-02 13:00,1327.752249,East (Tyler)
2016-01-02 13:00,2147.355053,Far West (Midland)
2016-01-02 13:00,839.5206742,North (Wichita Falls)
2016-01-02 13:00,12766.25257,North Central (DFW)
2016-01-02 13:00,4092.782644,South (Corpus Christi)
2016-01-02 13:00,7002.371255,South Central (Austin)
2016-01-02 13:00,1280.614964,West (Abilene)
2016-01-02 14:00,1243.306194,West (Abilene)
2016-01-02 14:00,10341.77752,Coast (Houston)
2016-01-02 14:00,1278.133527,East (Tyler)
2016-01-02 14:00,2112.225384,Far West (Midland)
2016-01-02 14:00,816.2166249,North (Wichita Falls)
2016-01-02 14:00,12301.02149,North Central (DFW)
2016-01-02 14:00,4062.784728,South (Corpus Christi)
2016-01-02 14:00,6880.995624,South Central (Austin)
2016-01-02 15:00,10071.92427,Coast (Houston)
2016-01-02 15:00,1249.734135,East (Tyler)
2016-01-02 15:00,2098.111602,Far West (Midland)
2016-01-02 15:00,796.5482724,North (Wichita Falls)
2016-01-02 15:00,11973.58412,North Central (DFW)
2016-01-02 15:00,4023.899823,South (Corpus Christi)
2016-01-02 15:00,6786.279482,South Central (Austin)
2016-01-02 15:00,1216.817541,West (Abilene)
2016-01-02 16:00,9944.167123,Coast (Houston)
2016-01-02 16:00,1231.671464,East (Tyler)
2016-01-02 16:00,2095.275017,Far West (Midland)
2016-01-02 16:00,784.0841035,North (Wichita Falls)
2016-01-02 16:00,11897.99721,North Central (DFW)
2016-01-02 16:00,4007.233902,South (Corpus Christi)
2016-01-02 16:00,6746.030361,South Central (Austin)
2016-01-02 16:00,1214.51825,West (Abilene)
2016-01-02 17:00,1228.044464,West (Abilene)
2016-01-02 17:00,9999.249802,Coast (Houston)
2016-01-02 17:00,1249.780656,East (Tyler)
2016-01-02 17:00,2103.944129,Far West (Midland)
2016-01-02 17:00,795.3550591,North (Wichita Falls)
2016-01-02 17:00,12008.57699,North Central (DFW)
2016-01-02 17:00,4038.662349,South (Corpus Christi)
2016-01-02 17:00,6819.718522,South Central (Austin)
2016-01-02 18:00,10511.79009,Coast (Houston)
2016-01-02 18:00,1319.154937,East (Tyler)
2016-01-02 18:00,2137.848294,Far West (Midland)
2016-01-02 18:00,826.2195518,North (Wichita Falls)
2016-01-02 18:00,12707.88686,North Central (DFW)
2016-01-02 18:00,4121.057279,South (Corpus Christi)
2016-01-02 18:00,7130.809989,South Central (Austin)
2016-01-02 18:00,1263.528132,West (Abilene)
2016-01-02 19:00,10822.61729,Coast (Houston)
2016-01-02 19:00,1367.183992,East (Tyler)
2016-01-02 19:00,2196.037364,Far West (Midland)
2016-01-02 19:00,858.2375682,North (Wichita Falls)
2016-01-02 19:00,13124.36691,North Central (DFW)
2016-01-02 19:00,4271.860141,South (Corpus Christi)
2016-01-02 19:00,7374.892327,South Central (Austin)
2016-01-02 19:00,1307.624276,West (Abilene)
2016-01-02 20:00,1299.947966,West (Abilene)
2016-01-02 20:00,10743.63769,Coast (Houston)
2016-01-02 20:00,1363.050503,East (Tyler)
2016-01-02 20:00,2196.817187,Far West (Midland)
2016-01-02 20:00,858.9286406,North (Wichita Falls)
2016-01-02 20:00,12999.93829,North Central (DFW)
2016-01-02 20:00,4264.455468,South (Corpus Christi)
2016-01-02 20:00,7333.380035,South Central (Austin)
2016-01-02 21:00,10643.71724,Coast (Houston)
2016-01-02 21:00,1354.947733,East (Tyler)
2016-01-02 21:00,2172.942559,Far West (Midland)
2016-01-02 21:00,848.3348416,North (Wichita Falls)
2016-01-02 21:00,12818.38272,North Central (DFW)
2016-01-02 21:00,4231.84136,South (Corpus Christi)
2016-01-02 21:00,7230.154819,South Central (Austin)
2016-01-02 21:00,1269.138237,West (Abilene)
2016-01-02 22:00,10445.64274,Coast (Houston)
2016-01-02 22:00,1319.299329,East (Tyler)
2016-01-02 22:00,2138.259523,Far West (Midland)
2016-01-02 22:00,837.3940934,North (Wichita Falls)
2016-01-02 22:00,12494.8105,North Central (DFW)
2016-01-02 22:00,4165.908569,South (Corpus Christi)
2016-01-02 22:00,7026.443475,South Central (Austin)
2016-01-02 22:00,1231.982579,West (Abilene)
2016-01-02 23:00,1180.453799,West (Abilene)
2016-01-02 23:00,10095.2537,Coast (Houston)
2016-01-02 23:00,1262.520912,East (Tyler)
2016-01-02 23:00,2091.869102,Far West (Midland)
2016-01-02 23:00,817.2612243,North (Wichita Falls)
2016-01-02 23:00,12006.71172,North Central (DFW)
2016-01-02 23:00,4050.787672,South (Corpus Christi)
2016-01-02 23:00,6709.728143,South Central (Austin)
2016-01-03 0:00,9695.1598,Coast (Houston)
2016-01-03 0:00,1198.36079,East (Tyler)
2016-01-03 0:00,2049.46735,Far West (Midland)
2016-01-03 0:00,790.76465,North (Wichita Falls)
2016-01-03 0:00,11399.5347,North Central (DFW)
2016-01-03 0:00,3901.5219,South (Corpus Christi)
2016-01-03 0:00,6344.03034,South Central (Austin)
2016-01-03 0:00,1132.90069,West (Abilene)
2016-01-03 1:00,9316.843422,Coast (Houston)
2016-01-03 1:00,1145.734869,East (Tyler)
2016-01-03 1:00,2021.714445,Far West (Midland)
2016-01-03 1:00,772.6415221,North (Wichita Falls)
2016-01-03 1:00,10977.71135,North Central (DFW)
2016-01-03 1:00,3751.282759,South (Corpus Christi)
2016-01-03 1:00,6074.962281,South Central (Austin)
2016-01-03 1:00,1089.570649,West (Abilene)
2016-01-03 2:00,1076.9471,West (Abilene)
2016-01-03 2:00,9091.157271,Coast (Houston)
2016-01-03 2:00,1119.076295,East (Tyler)
2016-01-03 2:00,1997.709894,Far West (Midland)
2016-01-03 2:00,767.6434623,North (Wichita Falls)
2016-01-03 2:00,10767.98087,North Central (DFW)
2016-01-03 2:00,3622.710535,South (Corpus Christi)
2016-01-03 2:00,5862.380435,South Central (Austin)
2016-01-03 3:00,8966.937567,Coast (Houston)
2016-01-03 3:00,1102.139414,East (Tyler)
2016-01-03 3:00,2007.909279,Far West (Midland)
2016-01-03 3:00,773.3488056,North (Wichita Falls)
2016-01-03 3:00,10757.2091,North Central (DFW)
2016-01-03 3:00,3534.433953,South (Corpus Christi)
2016-01-03 3:00,5730.525696,South Central (Austin)
2016-01-03 3:00,1068.37531,West (Abilene)
2016-01-03 4:00,8921.580178,Coast (Houston)
2016-01-03 4:00,1106.64514,East (Tyler)
2016-01-03 4:00,2018.516207,Far West (Midland)
2016-01-03 4:00,782.9984347,North (Wichita Falls)
2016-01-03 4:00,10906.53459,North Central (DFW)
2016-01-03 4:00,3485.717173,South (Corpus Christi)
2016-01-03 4:00,5670.068524,South Central (Austin)
2016-01-03 4:00,1068.390233,West (Abilene)
2016-01-03 5:00,1086.856931,West (Abilene)
2016-01-03 5:00,8967.510663,Coast (Houston)
2016-01-03 5:00,1128.345391,East (Tyler)
2016-01-03 5:00,2030.946165,Far West (Midland)
2016-01-03 5:00,800.0315512,North (Wichita Falls)
2016-01-03 5:00,11184.63505,North Central (DFW)
2016-01-03 5:00,3489.164086,South (Corpus Christi)
2016-01-03 5:00,5690.476664,South Central (Austin)
2016-01-03 6:00,9148.7586,Coast (Houston)
2016-01-03 6:00,1172.153873,East (Tyler)
2016-01-03 6:00,2056.870027,Far West (Midland)
2016-01-03 6:00,825.8770067,North (Wichita Falls)
2016-01-03 6:00,11649.02277,North Central (DFW)
2016-01-03 6:00,3531.332828,South (Corpus Christi)
2016-01-03 6:00,5813.325831,South Central (Austin)
2016-01-03 6:00,1122.000362,West (Abilene)
2016-01-03 7:00,9416.239193,Coast (Houston)
2016-01-03 7:00,1229.200948,East (Tyler)
2016-01-03 7:00,2076.968934,Far West (Midland)
2016-01-03 7:00,860.7562162,North (Wichita Falls)
2016-01-03 7:00,12300.59539,North Central (DFW)
2016-01-03 7:00,3612.592797,South (Corpus Christi)
2016-01-03 7:00,6014.302322,South Central (Austin)
2016-01-03 7:00,1177.655852,West (Abilene)
2016-01-03 8:00,1232.276985,West (Abilene)
2016-01-03 8:00,9573.356885,Coast (Houston)
2016-01-03 8:00,1286.307422,East (Tyler)
2016-01-03 8:00,2115.779995,Far West (Midland)
2016-01-03 8:00,899.0311174,North (Wichita Falls)
2016-01-03 8:00,12958.86108,North Central (DFW)
2016-01-03 8:00,3666.188645,South (Corpus Christi)
2016-01-03 8:00,6253.757352,South Central (Austin)
2016-01-03 9:00,9750.015203,Coast (Houston)
2016-01-03 9:00,1312.031896,East (Tyler)
2016-01-03 9:00,2112.871107,Far West (Midland)
2016-01-03 9:00,908.8268925,North (Wichita Falls)
2016-01-03 9:00,13099.82067,North Central (DFW)
2016-01-03 9:00,3746.491576,South (Corpus Christi)
2016-01-03 9:00,6378.478987,South Central (Austin)
2016-01-03 9:00,1233.308232,West (Abilene)
2016-01-03 10:00,9826.861305,Coast (Houston)
2016-01-03 10:00,1260.836225,East (Tyler)
2016-01-03 10:00,2089.42992,Far West (Midland)
2016-01-03 10:00,875.1297275,North (Wichita Falls)
2016-01-03 10:00,12684.42523,North Central (DFW)
2016-01-03 10:00,3816.89867,South (Corpus Christi)
2016-01-03 10:00,6332.000543,South Central (Austin)
2016-01-03 10:00,1209.462264,West (Abilene)
2016-01-03 11:00,1163.6803,West (Abilene)
2016-01-03 11:00,9717.268031,Coast (Houston)
2016-01-03 11:00,1179.025379,East (Tyler)
2016-01-03 11:00,2055.494259,Far West (Midland)
2016-01-03 11:00,828.5067124,North (Wichita Falls)
2016-01-03 11:00,12104.05204,North Central (DFW)
2016-01-03 11:00,3759.749816,South (Corpus Christi)
2016-01-03 11:00,6084.1117,South Central (Austin)
2016-01-03 12:00,9545.042131,Coast (Houston)
2016-01-03 12:00,1113.706106,East (Tyler)
2016-01-03 12:00,2019.249203,Far West (Midland)
2016-01-03 12:00,788.7646222,North (Wichita Falls)
2016-01-03 12:00,11520.32132,North Central (DFW)
2016-01-03 12:00,3610.064457,South (Corpus Christi)
2016-01-03 12:00,5778.430406,South Central (Austin)
2016-01-03 12:00,1109.457225,West (Abilene)
2016-01-03 13:00,9331.889744,Coast (Houston)
2016-01-03 13:00,1077.530959,East (Tyler)
2016-01-03 13:00,1993.860727,Far West (Midland)
2016-01-03 13:00,757.6469756,North (Wichita Falls)
2016-01-03 13:00,11046.48301,North Central (DFW)
2016-01-03 13:00,3502.341368,South (Corpus Christi)
2016-01-03 13:00,5538.229793,South Central (Austin)
2016-01-03 13:00,1026.221233,West (Abilene)
2016-01-03 14:00,992.2600249,West (Abilene)
2016-01-03 14:00,9113.024132,Coast (Houston)
2016-01-03 14:00,1049.160859,East (Tyler)
